Borough,Year,Week,Total accidents,Lethal accidents
BRONX,2016,15,457,0
BRONX,2016,16,507,0
BRONX,2016,17,374,0
BRONX,2016,18,451,0
BRONX,2016,19,491,0
BRONX,2016,20,430,2
BRONX,2016,21,468,0
BRONX,2016,22,413,0
BRONX,2016,23,387,0
BRONX,2016,24,397,1
BRONX,2016,25,429,0
BRONX,2016,26,416,0
BRONX,2016,27,388,0
BRONX,2016,28,470,0
BRONX,2016,29,461,0
BRONX,2016,30,434,0
BRONX,2016,31,420,1
BRONX,2016,32,400,0
BRONX,2016,33,417,0
BRONX,2016,34,375,0
BRONX,2016,35,416,1
BRONX,2016,36,394,0
BRONX,2016,37,429,0
BRONX,2016,38,411,0
BRONX,2016,39,393,0
BRONX,2016,40,388,0
BRONX,2016,41,363,2
BRONX,2016,42,404,1
BRONX,2016,43,412,0
BRONX,2016,44,403,0
BRONX,2016,45,344,1
BRONX,2016,46,389,1
BRONX,2016,47,376,1
BRONX,2016,48,413,0
BRONX,2016,49,398,0
BRONX,2016,50,399,1
BRONX,2016,51,429,0
BRONX,2016,52,325,1
BRONX,2017,1,369,0
BRONX,2017,2,397,0
BRONX,2017,3,366,0
BRONX,2017,4,369,0
BRONX,2017,5,396,0
BRONX,2017,6,344,0
BROOKLYN,2012,26,135,0
BROOKLYN,2012,27,908,3
BROOKLYN,2012,28,912,0
BROOKLYN,2012,29,849,2
BROOKLYN,2012,30,830,0
BROOKLYN,2012,31,850,1
BROOKLYN,2012,32,911,3
BROOKLYN,2012,33,887,0
BROOKLYN,2012,34,818,2
BROOKLYN,2012,35,951,0
BROOKLYN,2012,36,963,1
BROOKLYN,2012,37,912,1
BROOKLYN,2012,38,804,2
BROOKLYN,2012,39,855,2
BROOKLYN,2012,40,845,1
BROOKLYN,2012,41,891,0
BROOKLYN,2012,42,929,0
BROOKLYN,2012,43,901,2
BROOKLYN,2012,44,661,0
BROOKLYN,2012,45,955,0
BROOKLYN,2012,46,975,3
BROOKLYN,2012,47,844,1
BROOKLYN,2012,48,847,1
BROOKLYN,2012,49,1039,1
BROOKLYN,2012,50,933,3
BROOKLYN,2012,51,949,1
BROOKLYN,2012,52,822,1
BROOKLYN,2013,1,764,3
BROOKLYN,2013,2,881,0
BROOKLYN,2013,3,785,0
BROOKLYN,2013,4,853,3
BROOKLYN,2013,5,911,2
BROOKLYN,2013,6,879,0
BROOKLYN,2013,7,848,1
BROOKLYN,2013,8,769,2
BROOKLYN,2013,9,841,2
BROOKLYN,2013,10,923,2
BROOKLYN,2013,11,862,0
BROOKLYN,2013,12,812,1
BROOKLYN,2013,13,735,0
BROOKLYN,2013,14,821,3
BROOKLYN,2013,15,953,0
BROOKLYN,2013,16,881,1
